Licensee,Total Sales,Adult-Use Sales,Medical Sales,Address,City,State,Zip,Month,Year,Standardized DBA
NUVES LLC - RANCH ROAD RETAIL,"$28,835.79","$28,665.00",$170.79,101 Maguey Suite 4,Sunland Park,NM,88063,November,2025,Greens
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  SUNLAND PARK RETAIL,"$35,537.71","$29,899.64","$5,638.07",1155 McNutt Road,Sunland Park,NM,88063,November,2025,Ultra Health
NEWBERRY FARMS LLC - MCNUTT RD. RETAIL,"$3,802.06","$3,698.43",$103.63,1845 McNutt Rd,Sunland Park,NM,88063,November,2025,Sun City Grow Stand
"NEBRO, LLC","$93,063.76","$90,175.68","$2,888.08",1999 Futurity Drive Unit A,Sunland Park,NM,88063,November,2025,Elevation 3789
J AND J LOAN COMPANY- MCNUTT RETAIL,"$56,940.77","$56,831.34",$109.43,1144 McNutt,Sunland Park,NM,88063,November,2025,Empire Garden
"GREEN LABS CANNABIS COMPANY, LLC- DERBY RD RETAIL","$25,426.17","$25,283.42",$142.75,245 Derby Rd,Sunland Park,NM,88063,November,2025,Green Labs
FIELDS OF DREAMS - SUNLAND PARK RETAIL,"$1,203,442.53","$1,191,451.05","$11,991.48",159 Sunland Park Dr,Sunland Park,NM,88063,November,2025,Field of Dreams
EVEREST APOTHECARY,"$71,007.41","$67,280.08","$3,727.33",1580 Appaloosa Dr Ste 320,Sunland Park,NM,88063,November,2025,Everest
DISPENSARY NEAR ME SUNLAND PARK LLC- MCNUTT RETAIL/CONSUMPTION,"$59,994.29","$57,113.16","$2,881.13",1290 McNutt Rd,Sunland Park,NM,88063,November,2025,Dispensary Near Me
DIABLO BUDS GROW 1 LLC - APPALOOSA STE 6,"$4,793.05","$4,793.05",$0.00,1925 Appaloosa Ste 6,Sunland Park,NM,88063,November,2025,Black Sheep
CHADCOR HOLDINGS NM- RETAIL,"$305,832.43","$291,148.07","$14,684.36",1621 Appaloosa Dr,Sunland Park,NM,88063,November,2025,Cardiel
"CHADCOR HOLDINGS NM, LLC","$1,045,389.56","$1,002,422.46","$42,967.10",1615 Appaloosa Dr,Sunland Park,NM,88063,November,2025,Dark Matter
BLUE WHALE SUNLAND - APPALOOSA ST RETAIL,"$673,647.03","$628,587.67","$45,059.36",1500 Appaloosa St Suite B,Sunland Park,NM,88063,November,2025,Cookies
BESOS LLC/ RETAIL FUTURITY DR,"$45,605.17","$44,591.02","$1,014.15",1805 Futurity Dr,Sunland Park,NM,88603,November,2025,Besos
APOGEE THERAPEUTICS LLC - RETAIL/CONSUMPTION,"$47,771.03","$45,377.57","$2,393.46",1769 Victory Ln,Sunland Park,NM,88063,November,2025,Apogee
TOP OF THE 8TH LLC - ANTHONY DRIVE RETAIL,"$64,032.04","$48,539.62","$15,492.42",401 Anthony Dr Ste B,Anthony,NM,88021,November,2025,Top of the Eighth
"RMC NM, INC - ANTHONY RETAIL","$102,334.10","$87,149.95","$15,184.15",138 Anthony Dr,Anthony,NM,88021,November,2025,Rocky Mountain Cannabis
RH AND MC LLC - MILLER ST RETAIL,"$20,991.34","$17,059.83","$3,931.51",103 Miller St,Anthony,NM,88021,November,2025,Milla Cero
"KUSHOLOGY 101 LLC - OHARA RD, RETAIL","$15,626.91","$15,158.66",$468.25,1600 E OHara Rd,Anthony,NM,88021,November,2025,Kushology 101
STATELINE CANNABIS NM LLC-STEPHANIE RETAIL/CONS,"$13,007.27","$12,043.26",$964.01,101 Stephanie,Chaparral,NM,880081,November,2025,Stateline Cannabis
STATELINE CANNABIS NM LLC - ARCH ANGEL WAY RETAILER/CONSUMPTION,"$180,813.98","$178,727.22","$2,086.76",100 Arch Angel Way,Chaparral,NM,88081,November,2025,High Valley Cannabis
R R HEMPIRE LLC - ANGELINA BLVD RETAIL,"$6,424.71","$6,362.71",$62.00,101 Angelina Blvd,Chaparral,NM,88081,November,2025,Richy Rich
MEDD LLC - PALOMA BLANCA RETAIL,"$75,716.78","$72,987.71","$2,729.07",170 McCombs,Chaparral,NM,88081,November,2025,Pure Medd
GROTH INDUSTRIES LLC - SCHNEBERGER DR RETIAL,"$22,734.82","$20,585.49","$2,149.33",140 Schneberger Dr,Chaparral,NM,88081,November,2025,Groth
"GREEN THERAPY DISPENSARY, LLC","$499,675.81","$467,497.81","$32,178.00","460 County Line Drive, Space F",Chaparral,NM,88081,November,2025,Green Therapy
GANJIKA GARDENS LLC/ RETAIL RILEY WAY,"$20,572.62","$18,798.46","$1,774.16",1245 Riley Way,Chaparral,NM,88081,November,2025,Ganjika Gardens
ASTRO BUDS LLC - MCCOMBS RD RETAIL,"$176,539.61","$164,887.74","$11,651.87",308 McCombs Rd Spc 2,Chaparral,NM,88081,November,2025,Astro Buds Dispensary
AREA 54 DISPENSARY LLC- ANGELINA BLVD RETAIL,"$22,454.45","$19,955.60","$2,498.85",764 Angelina blvd,Chaparral,NM,88081,November,2025,Area 54
575 CANNABIS LLC- RETAIL 305 S COUNTY LINE,"$8,736.43","$8,297.84",$438.59,305 S County Line Dr,Chaparral,NM,88081,November,2025,Uforia
HOUSE OF FLOWERS ON THE BORDER LLC - RETAIL,"$86,767.18","$81,570.42","$5,196.76",1042 State Line,Chapparal,NM,88081,November,2025,House of Flowers
ST CANAPA LLC - MCNUTT RD RETAIL,"$14,146.55","$13,619.51",$527.04,5305 McNutt Rd,Santa Teresa,NM,88008,November,2025,St Canapa
HI LIFE DISPENSARY LLC - MCNUTT RD - RETAIL,"$57,669.27","$49,814.19","$7,855.08",5620 McNutt Rd,Santa Teresa,NM,88008,November,2025,Hi Life
GARDEN OF DREAMS CANNABIS LLC,"$33,248.63","$31,815.95","$1,432.68",5300 Mcnutt Rd,Santa Teresa,NM,88008,November,2025,Garden of Dreams
FRESHIES LLC/ RETAIL MCNUTT RD,"$46,961.69","$43,123.20","$3,838.49",5325 McNutt Rd,Santa Teresa,NM,88008,November,2025,Public Affair
575 CANNABIS LLC- RETAIL 305 S COUNTY LINE,"$7,981.15","$7,466.33",$514.82,305 S County Line Dr,Chaparral,NM,88081,December,2025,Uforia
APOGEE THERAPEUTICS LLC - RETAIL,"$39,862.82","$37,397.27","$2,465.55",1769 Victory Ln,Sunland Park,NM,88063,December,2025,Apogee
AREA 54 DISPENSARY LLC- ANGELINA BLVD RETAIL,"$22,722.78","$19,524.68","$3,198.10",764 Angelina blvd,Chaparral,NM,88081,December,2025,Area 54
ASTRO BUDS LLC - MCCOMBS RD RETAIL,"$175,929.89","$165,699.40","$10,230.49",308 McCombs Rd Spc 2,Chaparral,NM,88081,December,2025,Astro Buds Dispensary
BESOS LLC/ RETAIL FUTURITY DR,"$44,455.00","$43,056.97","$1,398.03",1805 Futurity Dr,Sunland Park,NM,88603,December,2025,Besos
BLUE WHALE SUNLAND - APPALOOSA ST RETAIL,"$689,261.67","$647,866.18","$41,395.49",1500 Appaloosa St Suite B,Sunland Park,NM,88063,December,2025,Cookies
"CHADCOR HOLDINGS NM, LLC","$1,059,331.44","$1,017,731.95","$41,599.49",1615 Appaloosa Dr,Sunland Park,NM,88063,December,2025,Dark Matter
CHADCOR HOLDINGS NM- RETAIL,"$295,177.99","$283,417.04","$11,760.95",1621 Appaloosa Dr,Sunland Park,NM,88063,December,2025,Cardiel
DIABLO BUDS GROW 1 LLC - APPALOOSA STE 6,"$9,633.22","$9,627.22",$6.00,1925 Appaloosa Ste 6,Sunland Park,NM,88063,December,2025,Black Sheep
DISPENSARY NEAR ME SUNLAND PARK LLC- MCNUTT RETAIL/CONSUMPTION,"$74,163.04","$69,636.03","$4,527.01",1290 McNutt Rd,Sunland Park,NM,88063,December,2025,Dispensary Near Me
EVEREST APOTHECARY,"$76,661.58","$72,922.32","$3,739.26",1580 Appaloosa Dr Ste 320,Sunland Park,NM,88063,December,2025,Everest
FIELDS OF DREAMS - SUNLAND PARK RETAIL,"$1,280,583.04","$1,266,953.79","$13,629.25",159 Sunland Park Dr,Sunland Park,NM,88063,December,2025,Field of Dreams
FRESHIES LLC/ RETAIL MCNUTT RD,"$50,550.24","$46,061.79","$4,488.45",5325 McNutt Rd,Santa Teresa,NM,88008,December,2025,Public Affair
GANJIKA GARDENS LLC/ RETAIL RILEY WAY,"$20,019.09","$18,569.00","$1,450.09",1245 Riley Way,Chaparral,NM,88081,December,2025,Ganjika Gardens
GARDEN OF DREAMS CANNABIS LLC,"$36,824.05","$34,670.35","$2,153.70",5300 Mcnutt Rd,Santa Teresa,NM,88008,December,2025,Garden of Dreams
"GREEN LABS CANNABIS COMPANY, LLC- DERBY RD RETAIL","$22,739.98","$22,689.13",$50.85,245 Derby Rd,Sunland Park,NM,88063,December,2025,Green Labs
"GREEN THERAPY DISPENSARY, LLC","$544,741.11","$510,508.11","$34,233.00","460 County Line Drive, Space F",Chaparral,NM,88081,December,2025,Green Therapy
GROTH INDUSTRIES LLC - SCHNEBERGER DR RETIAL,"$34,453.09","$31,501.15","$2,951.94",140 Schneberger Dr,Chaparral,NM,88081,December,2025,Groth
HI LIFE DISPENSARY LLC - MCNUTT RD - RETAIL,"$58,764.96","$52,177.51","$6,587.45",5620 McNutt Rd,Santa Teresa,NM,88008,December,2025,Hi Life
HOUSE OF FLOWERS ON THE BORDER LLC - RETAIL,"$95,378.56","$89,718.16","$5,660.40",1042 State Line,Chapparal,NM,88081,December,2025,House of Flowers
J AND J LOAN COMPANY- MCNUTT RETAIL,"$53,016.39","$52,265.89",$750.50,1144 McNutt,Sunland Park,NM,88063,December,2025,Empire Garden
"KUSHOLOGY 101 LLC - OHARA RD, RETAIL","$13,252.72","$12,877.26",$375.46,1600 E OHara Rd,Anthony,NM,88021,December,2025,Kushology 101
MEDD LLC - PALOMA BLANCA RETAIL,"$76,418.60","$73,431.57","$2,987.03",170 McCombs,Chaparral,NM,88081,December,2025,Pure Medd
"NEBRO, LLC","$88,583.66","$85,655.16","$2,928.50",1999 Futurity Drive Unit A,Sunland Park,NM,88063,December,2025,Elevation 3789
NEWBERRY FARMS LLC - MCNUTT RD. RETAIL,"$5,996.91","$5,837.38",$159.53,1845 McNutt Rd,Sunland Park,NM,88063,December,2025,Sun City Grow Stand
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  SUNLAND PARK RETAIL,"$34,415.60","$28,959.36","$5,456.24",1155 McNutt Road,Sunland Park,NM,88063,December,2025,Ultra Health
NUVES LLC - RANCH ROAD RETAIL,"$27,777.64","$27,657.64",$120.00,101 Maguey Suite 4,Sunland Park,NM,88063,December,2025,Greens
OBI WAN CANNABIS LLC,"$15,711.89","$14,496.66","$1,215.23",2167 McNutt Rd suite A,Sunland Park,NM,88063,December,2025,Obi Wan Cannabis
OLD GODS CANNABIS INC/ RETAIL APPALOOSA UNIT7,"$137,597.87","$134,135.87","$3,462.00",1541 Appaloosa Unit 7,Sunland Park,NM,88063,December,2025,Old Gods
PECOS VALLEY PRODUCTION INC - APPALOOSA DR RETAIL,"$68,269.03","$62,307.43","$5,961.60",1925 Appaloosa Dr,Sunland Park,NM,88063,December,2025,Pecos Valley Production
PROHIBITION 37 - MCNUTT RD RETAIL,"$109,098.39","$98,275.31","$10,823.08",871 McNutt Rd,Sunland Park,NM,88063,December,2025,Prohibition 37
PURLIFE - 900 COUNTRY CLUB RD RETAIL,"$41,119.56","$37,023.54","$4,096.02",900 Country Club Rd,Sunland Park,NM,88008,December,2025,PurLife
"R GREENLEAF ORGANICS INC/ RETAIL APPALOOSA UNIT 1,2","$94,702.63","$87,981.11","$6,721.52","1541 Appaloosas Unit 1, 2, Crossing Offices",Sunland Park,NM,88063,December,2025,R Greenleaf
RH AND MC LLC - MILLER ST RETAIL,"$20,434.02","$17,093.67","$3,340.35",103 Miller St,Anthony,NM,88021,December,2025,Milla Cero
"RMC NM, INC - ANTHONY RETAIL","$109,170.21","$94,006.70","$15,163.51",138 Anthony Dr,Anthony,NM,88021,December,2025,Rocky Mountain Cannabis
"ROUND HOUSE RESERVE, LLC - MCNUTT DR RETAIL","$13,382.93","$12,251.39","$1,131.54",1165 McNutt Dr Unit C5,Sunland Park,NM,88063,December,2025,Round House Reserve
R R HEMPIRE LLC - ANGELINA BLVD RETAIL,"$5,726.66","$5,665.65",$61.01,101 Angelina Blvd,Chaparral,NM,88081,December,2025,Richy Rich
SCORE 420 - MCNUTT RETAIL,"$58,863.15","$55,191.10","$3,672.05",2355 McNutt Road,Sunland Park,NM,88063,December,2025,Score 420
STATELINE CANNABIS NM LLC - ARCH ANGEL WAY RETAILER/CONSUMPTION,"$202,845.48","$200,060.15","$2,785.33",100 Arch Angel Way,Chaparral,NM,88081,December,2025,High Valley Cannabis
STATELINE CANNABIS NM LLC-STEPHANIE RETAIL/CONS,"$2,973.55","$2,809.39",$164.16,101 Stephanie,Chaparral,NM,880081,December,2025,Stateline Cannabis
ST CANAPA LLC - MCNUTT RD RETAIL,"$13,125.05","$12,708.68",$416.37,5305 McNutt Rd,Santa Teresa,NM,88008,December,2025,St Canapa
SUNLAND MCNUTT GROUP LLC- MCNUTT RD RETAIL,"$1,247,302.85","$1,203,423.19","$43,879.66",1051 McNutt Rd,Sunland Park,NM,88063,December,2025,Mango Cannabis
SUNSHINE ESSENTIALS/ RETAIL MCNUTT,"$3,024.54","$2,623.69",$400.85,267 Anapra Rd,Sunland Park,NM,88063,December,2025,Sunshine Essentials
TOKE IT UP DISPENSARY AND LOUNGE LLC- FUTURITY DRIVE RETAIL,"$11,633.99","$9,808.84","$1,825.15",1999 Futurity Drive,Sunland Park,NM,88063,December,2025,Toke It Up
TOP OF THE 8TH LLC - ANTHONY DRIVE RETAIL,"$64,851.04","$51,183.33","$13,667.71",401 Anthony Dr Ste B,Anthony,NM,88021,December,2025,Top of the Eighth
URBAN WELLNESS - APPALOOSA DR RETAILER,"$63,972.31","$61,084.80","$2,887.51",1500 Appaloosa Dr Bldg A Ste 140,Sunland Park,NM,88063,December,2025,Urban Wellness
575 CANNABIS LLC- RETAIL 305 S COUNTY LINE,"$6,081.78","$5,604.16",$477.62,305 S County Line Dr,Chaparral,NM,88081,January,2026,Uforia
APOGEE THERAPEUTICS LLC - RETAIL,"$38,600.64","$36,058.57","$2,542.07",1769 Victory Ln,Sunland Park,NM,88063,January,2026,Apogee
AREA 54 DISPENSARY LLC- ANGELINA BLVD RETAIL,"$22,655.40","$19,641.94","$3,013.46",764 Angelina blvd,Chaparral,NM,88081,January,2026,Area 54
ASTRO BUDS LLC - MCCOMBS RD RETAIL,"$168,109.99","$160,207.14","$7,902.85",308 McCombs Rd Spc 2,Chaparral,NM,88081,January,2026,Astro Buds Dispensary
BESOS LLC/ RETAIL FUTURITY DR,"$38,163.45","$36,439.46","$1,723.99",1805 Futurity Dr,Sunland Park,NM,88603,January,2026,Besos
BLUE WHALE SUNLAND - APPALOOSA ST RETAIL,"$694,853.82","$650,009.43","$44,844.39",1500 Appaloosa St Suite B,Sunland Park,NM,88063,January,2026,Cookies
"CHADCOR HOLDINGS NM, LLC","$999,067.49","$963,522.23","$35,545.26",1615 Appaloosa Dr,Sunland Park,NM,88063,January,2026,Dark Matter
CHADCOR HOLDINGS NM- RETAIL,"$282,619.72","$268,963.87","$13,655.85",1621 Appaloosa Dr,Sunland Park,NM,88063,January,2026,Cardiel
DIABLO BUDS GROW 1 LLC - APPALOOSA STE 6,"$8,503.27","$8,479.27",$24.00,1925 Appaloosa Ste 6,Sunland Park,NM,88063,January,2026,Black Sheep
DISPENSARY NEAR ME SUNLAND PARK LLC- MCNUTT RETAIL/CONSUMPTION,"$67,659.06","$64,337.31","$3,321.75",1290 McNutt Rd,Sunland Park,NM,88063,January,2026,Dispensary Near Me
EVEREST APOTHECARY,"$76,590.93","$71,395.57","$5,195.36",1580 Appaloosa Dr Ste 320,Sunland Park,NM,88063,January,2026,Everest
FIELDS OF DREAMS - SUNLAND PARK RETAIL,"$1,203,805.61","$1,193,081.15","$10,724.46",159 Sunland Park Dr,Sunland Park,NM,88063,January,2026,Field of Dreams
FRESHIES LLC/ RETAIL MCNUTT RD,"$40,889.19","$37,979.44","$2,909.75",5325 McNutt Rd,Santa Teresa,NM,88008,January,2026,Public Affair
GANJIKA GARDENS LLC/ RETAIL RILEY WAY,"$19,653.60","$18,099.72","$1,553.88",1245 Riley Way,Chaparral,NM,88081,January,2026,Ganjika Gardens
GARDEN OF DREAMS CANNABIS LLC,"$35,289.82","$31,819.80","$3,470.02",5300 Mcnutt Rd,Santa Teresa,NM,88008,January,2026,Garden of Dreams
"GREEN LABS CANNABIS COMPANY, LLC- DERBY RD RETAIL","$21,570.64","$21,465.59",$105.05,245 Derby Rd,Sunland Park,NM,88063,January,2026,Green Labs
"GREEN THERAPY DISPENSARY, LLC","$522,266.00","$489,640.00","$32,626.00","460 County Line Drive, Space F",Chaparral,NM,88081,January,2026,Green Therapy
GROTH INDUSTRIES LLC - SCHNEBERGER DR RETIAL,"$32,974.06","$30,734.62","$2,239.44",140 Schneberger Dr,Chaparral,NM,88081,January,2026,Groth
HI LIFE DISPENSARY LLC - MCNUTT RD - RETAIL,"$58,146.33","$48,893.58","$9,252.75",5620 McNutt Rd,Santa Teresa,NM,88008,January,2026,Hi Life
HOUSE OF FLOWERS ON THE BORDER LLC - RETAIL,"$91,354.47","$84,920.52","$6,433.95",1042 State Line,Chapparal,NM,88081,January,2026,House of Flowers
J AND J LOAN COMPANY- MCNUTT RETAIL,"$49,825.18","$49,485.68",$339.50,1144 McNutt,Sunland Park,NM,88063,January,2026,Empire Garden
"KUSHOLOGY 101 LLC - OHARA RD, RETAIL","$9,619.69","$9,417.33",$202.36,1600 E OHara Rd,Anthony,NM,88021,January,2026,Kushology 101
MEDD LLC - PALOMA BLANCA RETAIL,"$60,227.31","$57,839.31","$2,388.00",170 McCombs,Chaparral,NM,88081,January,2026,Pure Medd
"NEBRO, LLC","$80,478.27","$78,176.77","$2,301.50",1999 Futurity Drive Unit A,Sunland Park,NM,88063,January,2026,Elevation 3789
NEWBERRY FARMS LLC - MCNUTT RD. RETAIL,"$5,381.17","$4,945.39",$435.78,1845 McNutt Rd,Sunland Park,NM,88063,January,2026,Sun City Grow Stand
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  SUNLAND PARK RETAIL,"$30,700.44","$25,603.72","$5,096.72",1155 McNutt Road,Sunland Park,NM,88063,January,2026,Ultra Health
NUVES LLC - RANCH ROAD RETAIL,"$26,313.06","$26,227.25",$85.81,101 Maguey Suite 4,Sunland Park,NM,88063,January,2026,Greens
OBI WAN CANNABIS LLC,"$16,004.14","$14,554.67","$1,449.47",2167 McNutt Rd suite A,Sunland Park,NM,88063,January,2026,Obi Wan Cannabis
OLD GODS CANNABIS INC/ RETAIL APPALOOSA UNIT7,"$132,399.34","$128,291.34","$4,108.00",1541 Appaloosa Unit 7,Sunland Park,NM,88063,January,2026,Old Gods
PECOS VALLEY PRODUCTION INC - APPALOOSA DR RETAIL,"$39,535.05","$37,858.57","$1,676.48",1925 Appaloosa Dr,Sunland Park,NM,88063,January,2026,Pecos Valley Production
PROHIBITION 37 - MCNUTT RD RETAIL,"$104,662.67","$93,685.53","$10,977.14",871 McNutt Rd,Sunland Park,NM,88063,January,2026,Prohibition 37
PURLIFE - 900 COUNTRY CLUB RD RETAIL,"$68,924.63","$62,695.63","$6,229.00",900 Country Club Rd,Sunland Park,NM,88008,January,2026,PurLife
"R GREENLEAF ORGANICS INC/ RETAIL APPALOOSA UNIT 1,2","$93,989.98","$88,869.36","$5,120.62","1541 Appaloosas Unit 1, 2, Crossing Offices",Sunland Park,NM,88063,January,2026,R Greenleaf
RH AND MC LLC - MILLER ST RETAIL,"$24,241.16","$20,386.00","$3,855.16",103 Miller St,Anthony,NM,88021,January,2026,Milla Cero
"RMC NM, INC - ANTHONY RETAIL","$90,464.13","$79,636.91","$10,827.22",816 Anthony Dr,Anthony,NM,88021,January,2026,Rocky Mountain Cannabis
"ROUND HOUSE RESERVE, LLC - MCNUTT DR RETAIL","$12,557.42","$11,402.33","$1,155.09",1165 McNutt Dr Unit C5,Sunland Park,NM,88063,January,2026,Round House Reserve
R R HEMPIRE LLC - ANGELINA BLVD RETAIL,"$4,872.18","$4,782.34",$89.84,101 Angelina Blvd,Chaparral,NM,88081,January,2026,Richy Rich
SCORE 420 - MCNUTT RETAIL,"$49,581.92","$46,362.35","$3,219.57",2355 McNutt Road,Sunland Park,NM,88063,January,2026,Score 420
STATELINE CANNABIS NM LLC - ARCH ANGEL WAY RETAILER/CONSUMPTION,"$206,363.74","$201,707.39","$4,656.35",100 Arch Angel Way,Chaparral,NM,88081,January,2026,High Valley Cannabis
STATELINE CANNABIS NM LLC- STEPHANIE RETAIL,"$10,335.81","$9,364.12",$971.69,101 Stephanie,Chaparral,NM,88081,January,2026,Stateline Cannabis
STATELINE CANNABIS NM LLC-STEPHANIE RETAIL/CONS,"$2,566.14","$2,545.18",$20.96,101 Stephanie,Chaparral,NM,88081,January,2026,Stateline Cannabis
ST CANAPA LLC - MCNUTT RD RETAIL,"$13,984.83","$13,251.69",$733.14,5305 McNutt Rd,Santa Teresa,NM,88008,January,2026,St Canapa
SUNLAND MCNUTT GROUP LLC- MCNUTT RD RETAIL,"$1,110,326.13","$1,072,896.34","$37,429.79",1051 McNutt Rd,Sunland Park,NM,88063,January,2026,Mango Cannabis
SUNSHINE ESSENTIALS/ RETAIL MCNUTT,"$3,677.39","$3,279.85",$397.53,267 Anapra Rd,Sunland Park,NM,88063,January,2026,Sunshine Essentials
TOKE IT UP DISPENSARY AND LOUNGE LLC- FUTURITY DRIVE RETAIL,"$15,430.78","$13,716.44","$1,714.34",1999 Futurity Drive,Sunland Park,NM,88063,January,2026,Toke It Up
TOP OF THE 8TH LLC - ANTHONY DRIVE RETAIL,"$64,674.26","$52,938.48","$11,735.78",401 Anthony Dr Ste B,Anthony,NM,88021,January,2026,Top of the Eighth
URBAN WELLNESS - APPALOOSA DR RETAILER,"$110,567.17","$104,914.73","$5,652.44",1500 Appaloosa Dr Bldg A Ste 140,Sunland Park,NM,88063,January,2026,Urban Wellness
575 CANNABIS LLC- RETAIL 305 S COUNTY LINE,"$5,082.18","$4,466.14",$616.04,305 S County Line Dr,Chaparral,NM,88081,February,2026,Uforia
APOGEE THERAPEUTICS LLC - RETAIL,"$30,883.28","$29,478.89","$1,404.39",1769 Victory Ln,Sunland Park,NM,88063,February,2026,Apogee
AREA 54 DISPENSARY LLC- ANGELINA BLVD RETAIL,"$24,341.84","$20,140.11","$4,201.73",764 Angelina blvd,Chaparral,NM,88081,February,2026,Area 54
ASTRO BUDS LLC - APPALOOSA DRIVE CONSUMPTION / RETAIL,"$160,692.06","$152,212.48","$8,479.58",1650 Appaloosa Drive,Sunland Park,NM,88063,February,2026,Astro Buds Dispensary & Lounge
ASTRO BUDS LLC - MCCOMBS RD RETAIL,"$140,280.66","$133,738.46","$6,542.20",308 McCombs Rd Spc 2,Chaparral,NM,88081,February,2026,Astro Buds Dispensary
BESOS LLC/ RETAIL FUTURITY DR,"$37,632.97","$36,923.77",$709.20,1805 Futurity Dr,Sunland Park,NM,88603,February,2026,Besos
BLUE WHALE SUNLAND - APPALOOSA ST RETAIL,"$692,110.95","$647,802.10","$44,308.85",1500 Appaloosa St Suite B,Sunland Park,NM,88063,February,2026,Cookies
"CHADCOR HOLDINGS NM, LLC","$914,582.34","$883,715.39","$30,866.95",1615 Appaloosa Dr,Sunland Park,NM,88063,February,2026,Dark Matter
CHADCOR HOLDINGS NM- RETAIL,"$261,359.63","$250,379.12","$10,980.51",1621 Appaloosa Dr,Sunland Park,NM,88063,February,2026,Cardiel
DIABLO BUDS GROW 1 LLC - APPALOOSA STE 6,"$3,859.04","$3,823.03",$36.01,1925 Appaloosa Ste 6,Sunland Park,NM,88063,February,2026,Black Sheep
DISPENSARY NEAR ME SUNLAND PARK LLC- MCNUTT RETAIL/CONSUMPTION,"$64,234.10","$60,381.19","$3,852.91",1290 McNutt Rd,Sunland Park,NM,88063,February,2026,Dispensary Near Me
EVEREST APOTHECARY,"$67,907.97","$63,667.05","$4,240.92",1580 Appaloosa Dr Ste 320,Sunland Park,NM,88063,February,2026,Everest
FIELDS OF DREAMS - SUNLAND PARK RETAIL,"$1,075,152.01","$1,062,564.91","$12,587.10",159 Sunland Park Dr,Sunland Park,NM,88063,February,2026,Field of Dreams
FRESHIES LLC/ RETAIL MCNUTT RD,"$38,146.75","$34,192.70","$3,954.05",5325 McNutt Rd,Santa Teresa,NM,88008,February,2026,Public Affair
GANJIKA GARDENS LLC/ RETAIL RILEY WAY,"$18,207.08","$17,248.56",$958.52,1245 Riley Way,Chaparral,NM,88081,February,2026,Ganjika Gardens
GARDEN OF DREAMS CANNABIS LLC,"$29,640.08","$27,512.76","$2,127.32",5300 Mcnutt Rd,Santa Teresa,NM,88008,February,2026,Garden of Dreams
"GREEN LABS CANNABIS COMPANY, LLC- DERBY RD RETAIL","$6,554.19","$6,502.49",$51.70,245 Derby Rd,Sunland Park,NM,88063,February,2026,Green Labs
"GREEN THERAPY DISPENSARY, LLC","$462,042.00","$435,154.00","$26,888.00","460 County Line Drive, Space F",Chaparral,NM,88081,February,2026,Green Therapy
GROTH INDUSTRIES LLC - SCHNEBERGER DR RETIAL,"$34,153.76","$31,914.51","$2,239.25",140 Schneberger Dr,Chaparral,NM,88081,February,2026,Groth
HI LIFE DISPENSARY LLC - MCNUTT RD - RETAIL,"$59,683.47","$51,718.23","$7,965.24",5620 McNutt Rd,Santa Teresa,NM,88008,February,2026,Hi Life
HOUSE OF FLOWERS ON THE BORDER LLC - RETAIL,"$90,438.85","$85,517.90","$4,920.95",1042 State Line,Chapparal,NM,88081,February,2026,House of Flowers
J AND J LOAN COMPANY- MCNUTT RETAIL,"$45,534.07","$44,989.64",$544.43,1144 McNutt,Sunland Park,NM,88063,February,2026,Empire Garden
"KUSHOLOGY 101 LLC - OHARA RD, RETAIL","$11,410.10","$10,983.69",$426.41,1600 E OHara Rd,Anthony,NM,88021,February,2026,Kushology 101
MCMC - MILLER - RETAILER,"$5,589.40","$4,651.27",$938.13,103 Miller Street,Anthony,NM,88021,February,2026,Milla Cero
MEDD LLC - PALOMA BLANCA RETAIL,"$46,299.93","$45,110.59","$1,189.34",170 McCombs,Chaparral,NM,88081,February,2026,Pure Medd
"NEBRO, LLC","$64,914.21","$63,233.21","$1,681.00",1999 Futurity Drive Unit A,Sunland Park,NM,88063,February,2026,Elevation 3789
NEWBERRY FARMS LLC - MCNUTT RD. RETAIL,"$6,262.39","$5,500.56",$761.83,1845 McNutt Rd,Sunland Park,NM,88063,February,2026,Sun City Grow Stand
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  SUNLAND PARK RETAIL,"$28,778.06","$24,873.28","$3,904.78",1155 McNutt Road,Sunland Park,NM,88063,February,2026,Ultra Health
NUVES LLC - RANCH ROAD RETAIL,"$23,213.82","$23,128.56",$85.26,101 Maguey Suite 4,Sunland Park,NM,88063,February,2026,Greens
OBI WAN CANNABIS LLC,"$15,162.46","$13,980.12","$1,182.34",2167 McNutt Rd suite A,Sunland Park,NM,88063,February,2026,Obi Wan Cannabis
OLD GODS CANNABIS INC/ RETAIL APPALOOSA UNIT7,"$122,611.45","$119,253.45","$3,358.00",1541 Appaloosa Unit 7,Sunland Park,NM,88063,February,2026,Old Gods
PECOS VALLEY PRODUCTION INC - APPALOOSA DR RETAIL,"$35,708.78","$33,600.99","$2,107.79",1925 Appaloosa Dr,Sunland Park,NM,88063,February,2026,Pecos Valley Production
PROHIBITION 37 - MCNUTT RD RETAIL,"$105,149.02","$93,086.67","$12,062.35",871 McNutt Rd,Sunland Park,NM,88063,February,2026,Prohibition 37
