Licensee,Total Sales,Adult-Use Sales,Medical Sales,Address,City,State,Zip,Month,Year,Standardized DBA
PECOS VALLEY PRODUCTION INC - APPALOOSA DR RETAIL,"$151,062.54","$143,548.54","$7,514.00",1925 Appaloosa Dr,Sunland Park,NM,88063,March,2025,Pecos Valley Production
PROHIBITION 37 - MCNUTT RD RETAIL,"$97,429.99","$86,692.45","$10,737.54",871 McNutt Rd,Sunland Park,NM,88063,March,2025,Prohibition 37
"R GREENLEAF ORGANICS INC/ RETAIL APPALOOSA UNIT 1,2","$134,501.64","$127,142.56","$7,359.08","1541 Appaloosas Unit 1, 2, Crossing Offices",Sunland Park,NM,88063,March,2025,R Greenleaf
RH AND MC LLC - MILLER ST RETAIL,"$26,550.41","$21,168.86","$5,381.55",103 Miller St,Anthony,NM,88021,March,2025,Milla Cero
"RMC NM, INC - ANTHONY RETAIL","$93,653.39","$81,236.49","$12,416.90",138 Anthony Dr,Anthony,NM,88021,March,2025,Rocky Mountain Cannabis
"ROUND HOUSE RESERVE, LLC - MCNUTT DR RETAIL","$19,899.22","$17,577.21","$2,322.01",1165 McNutt Dr Unit C5,Sunland Park,NM,88063,March,2025,Round House Reserve
R R HEMPIRE LLC - ANGELINA BLVD RETAIL,"$12,666.88","$12,007.31",$659.57,101 Angelina Blvd,Chaparral,NM,88081,March,2025,Richy Rich
SCORE 420 - MCNUTT RETAIL,"$57,126.43","$50,736.90","$6,389.53",2355 McNutt Road,Sunland Park,NM,88063,March,2025,Score 420
SEVEN NINE GROW LLC - EL PASEO DR RETAIL,"$14,004.73","$12,426.52","$1,578.21",305 S County Line Rd,Chaparral,NM,88081,March,2025,UFORIA
STATELINE CANNABIS NM LLC - ARCH ANGEL WAY RETAILER/CONSUMPTION,"$203,154.77","$200,249.84","$2,904.93",100 Arch Angel Way,Chaparral,NM,88081,March,2025,High Valley Cannabis
ST CANAPA LLC - MCNUTT RD RETAIL,"$25,836.41","$25,332.20",$504.21,5305 McNutt Rd,Santa Teresa,NM,88008,March,2025,St Canapa
SUNLAND MCNUTT GROUP LLC- MCNUTT RD RETAIL,"$669,481.23","$640,805.53","$28,675.70",1051 McNutt Rd,Sunland Park,NM,88063,March,2025,Mango Cannabis
SUNSHINE ESSENTIALS/ RETAIL MCNUTT,"$3,024.51","$2,759.05",$265.46,267 Anapra Rd,Sunland Park,NM,88063,March,2025,Sunshine Essentials
TEN 10 PROJECT LLC- APPOLOOSA DR RETAIL,"$42,517.57","$42,141.57",$376.00,1925 Appoloosa Dr,Sunland Park,NM,88063,March,2025,TenTen
THE GREEN MATRIX - S HIGHWAY 28 RETAIL,"$24,717.82","$22,127.68","$2,590.14",3100 S Highway 28,Anthony,NM,88021,March,2025,Green Matrix
TOP OF THE 8TH LLC - ANTHONY DRIVE RETAIL,"$66,540.98","$51,491.07","$15,049.91",401 Anthony Dr Ste B,Anthony,NM,88021,March,2025,Top of the Eighth
YERBAVIVA LLC/ RETAIL MCNUTT STE D,"$5,047.26","$4,244.87",$802.39,2327 McNutt Ste D,Sunland Park,NM,88063,March,2025,Yerba Viva
ANIMACANN INC - APPALOOSA DR RETAIL,"$72,807.74","$70,664.39","$2,143.35",1500 Appaloosa Dr Bldg A Ste 140,Sunland Park,NM,88063,April,2025,Urban Wellness
APOGEE THERAPEUTICS LLC - RETAIL/CONSUMPTION,"$14,285.52","$13,149.13","$1,136.39",1769 Victory Ln,Sunland Park,NM,88063,April,2025,Apogee
ASTRO BUDS LLC - MCCOMBS RD RETAIL,"$240,585.58","$224,854.67","$15,730.91",308 McCombs Rd Spc 2,Chaparral,NM,88081,April,2025,Astro Buds Dispensary
BESOS LLC/ RETAIL FUTURITY DR,"$65,749.14","$64,098.67","$1,650.47",1805 Futurity Dr,Sunland Park,NM,88063,April,2025,Besos
BLUE WHALE SUNLAND - APPALOOSA ST RETAIL,"$678,719.16","$635,618.11","$43,101.05",1500 Appaloosa St Suite B,Sunland Park,NM,88063,April,2025,Cookies
CARDIEL BOTANICA LTD CO - MCNUTT RD RETAIL,$844.99,$844.99,$0.00,1685 McNutt,Sunland Park,NM,88063,April,2025,Cardiel Cannabis
CARDIEL BOTANICA LTD CO - PALOMAS PL RETAIL,$395.95,$395.95,$0.00,100 Palomas Pl Ste B-2,Sunland Park,NM,88063,April,2025,Top Crop
"CHADCOR HOLDINGS NM, LLC","$1,202,158.98","$1,157,073.45","$45,085.53",1615 Appaloosa Dr,Sunland Park,NM,88063,April,2025,Dark Matter
CHADCOR HOLDINGS NM- RETAIL,"$206,001.77","$188,484.84","$17,516.93",1621 Appaloosa Dr,Sunland Park,NM,88063,April,2025,Cardiel
DISPENSARY NEAR ME SUNLAND PARK LLC- MCNUTT RETAIL,"$49,519.89","$45,841.79","$3,678.10",1290 McNutt Rd,Sunland Park,NM,88063,April,2025,Dispensary Near Me
